Name|Sentence
Laurie|Let's meet at the 駅 at seven o'clock.
Laurie|My お母さん is coming to visit next week.
Laurie|新しいprojectを来週から始めます。
Laurie|今日はmeetingとpresentationがあります。
Laurie|She's been grinding levels all day and still hasn't cleared this 関門.
Laurie|The final boss hit so hard it felt completely 理不尽 to me.
Laurie|Did you see how 見事 that speedrunner finished the whole game in under an hour?
Laurie|My controller keeps drifting, which is honestly 最悪 for ranked matches.
Laurie|He pulled an ultra-rare card and just stared at it with this 呆然 expression.
Laurie|The loading screen tips are kind of 的外れ and never actually help anyone.
Laurie|今日はlayeredのコーデにしようと思っている。
Laurie|その古いデニムジャケットはvintageな雰囲気があってすごく好きだ。
Laurie|このスカートにはplaidの柄が入っていて、秋にぴったりだと思う。
Laurie|彼女はいつもoversizedのシャツをさらっと着こなしている。
Laurie|クローゼットの中をsimpleにまとめたくて、服を半分捨てた。
Laurie|そのワンピース、すごくelegantじゃない？
Laurie|もう少しneutralな色のコートを買いたいと思っている。
Laurie|このブーツはtexturedのレザーで作られていて、触り心地が独特だ。
Laurie|彼はいつもsleekなスーツを着て会議に来る。
Laurie|最近はminimalistなファッションがトレンドになっているらしい。
Curtis|I'm saving every 回復 item I find because the next dungeon looks brutal.
Curtis|That clutch play in the tournament was truly 鮮やか — the crowd went wild.
Curtis|Can you explain why the 操作感 in this port feels so much worse than the original?
Curtis|We lost the match because our 連携 completely broke down in the last minute.
Curtis|The open world felt 広大 in a way I hadn't experienced since the early exploration games.
Curtis|She plays every night with この執念 that honestly makes her teammates nervous.
Curtis|The patch notes were so 曖昧 that nobody knew what actually got nerfed.
Curtis|Getting a 全滅 on the very first wave is not exactly the strong start we wanted.
Curtis|His 反射神経 is honestly inhuman — he dodges things before they even appear on screen.
Curtis|The atmosphere in that horror game is deeply 不気味 in the best possible way.
Curtis|このboldなプリントのシャツ、着こなせる自信がない。
Curtis|彼女の新しいバッグはstructuredな形で、とても上品に見える。
Curtis|その靴のsoleが厚くて、身長が少し高く見える。
Curtis|試着室でfittedなジャケットを着てみたら、想像以上に似合っていた。
Curtis|このセーターはchunkyな編み方で、冬にとても温かそうだ。
Curtis|彼のcoordinated な着こなしはいつも周りの目を引く。
Curtis|そのドレスのnecklineが深くて、着るのに少し勇気がいる。
Curtis|古着屋でunique なパターンのシャツを見つけて、即買いした。
Curtis|このlightweightな素材のコートは、春先にちょうどいい。
Curtis|彼女はmuted な色のパレットだけで、毎日違うコーデを作っている。
Mike|I wish the tutorial wasn't so 冗長 — I skipped half of it and felt fine.
Mike|The difficulty spike in chapter four was so 急激 that I almost quit the game.
Mike|We need someone 冷静 in the party who won't panic when the healer goes down.
Mike|My 口座 has been frozen since last Tuesday.
Mike|I need to transfer some 現金 before the branch closes.
Mike|The 利子 on this savings plan is shockingly low.
Mike|She keeps all her 貯金 in a jar under the bed, which worries me.
Mike|Have you checked your 残高 lately? It's looking pretty slim.
Mike|The 手数料 they charged me was completely unreasonable.
Mike|I finally paid off the last of my 借金 this morning.
Mike|今日はlightingの条件が完璧でした。
Mike|このcameraは古いけど、まだよく撮れます。
Mike|もっとsharpな写真を撮りたいんですが。
Mike|彼女はlandscapeばかり撮影しています。
Mike|シャッターを押す前にframeをよく確認してね。
Mike|exposureの設定を少し変えてみました。
Mike|このlensはとても高価だったので、大切に使っています。
Mike|あのrawファイルをまだ編集していません。
Mike|ポートレートを撮るときはnatural lightが一番好きです。
Mike|このangle、すごくuniqueだと思いませんか？
Christopher|The 為替レート today is much more favorable than last week.
Christopher|Could you remind me of my 暗証番号 before we get to the ATM?
Christopher|My 給料 just cleared and I already feel broke somehow.
Christopher|The bank asked for 証明書 before they'd process the loan.
Christopher|I split the 支払い with my roommate so it wasn't too painful.
Christopher|Their 信用 score took a real hit after that missed payment.
Christopher|We wired the 送金 early in the morning to beat the deadline.
Christopher|The 融資 came through just in time to save the small business.
Christopher|She was 慎重 about every investment she ever made.
Christopher|I always keep a 予備 fund in case of emergencies.
Christopher|shadowの入り方がとても美しい写真ですね。
Christopher|もう少しzoomすれば、鳥がはっきり見えるよ。
Christopher|tripodを持ってくればよかったと後悔しています。
Christopher|このfilterを使うと色がとても鮮やかになります。
Christopher|あのcompositionは本当にプロっぽいですね。
Christopher|夕暮れのgoldenな光で撮影したいです。
Christopher|iso感度を上げすぎると、grainyな感じになります。
Christopher|彼女のportfolio、見せてもらいましたか？
Christopher|apertureを開けると、背景がきれいにぼけます。
Christopher|そのmoment、絶対に逃したくなかった。
