Sentence|Gloss
Have you ever had a reaction to 麻酔 during a dental procedure?|Have you ever had a reaction to anesthesia during a dental procedure?
This new 治療法 has shown remarkable results in clinical trials.|This new treatment method has shown remarkable results in clinical trials.
We need to monitor his 体温 every four hours throughout the night.|We need to monitor his body temperature every four hours throughout the night.
She felt a sudden 目眩 and had to sit down immediately.|She felt a sudden dizziness and had to sit down immediately.
The 検査 results should be ready by Thursday afternoon.|The examination results should be ready by Thursday afternoon.
He has been living with a 慢性 back condition for over a decade.|He has been living with a chronic back condition for over a decade.
I forgot to mention my 花粉症 when filling out the intake form.|I forgot to mention my hay fever when filling out the intake form.
The clinic offers free 健診 for residents over the age of forty.|The clinic offers free health checkups for residents over the age of forty.
Her 血圧 was slightly elevated, but nothing alarming according to the nurse.|Her blood pressure was slightly elevated, but nothing alarming according to the nurse.
Please drink plenty of fluids to avoid 脱水 in this heat.|Please drink plenty of fluids to avoid dehydration in this heat.
The specialist confirmed it was a 良性 tumor, so no surgery is needed.|The specialist confirmed it was a benign tumor, so no surgery is needed.
I want to understand the 副作用 before I start the new medication.|I want to understand the side effects before I start the new medication.
His 免疫 system has been weakened by the ongoing stress at work.|His immune system has been weakened by the ongoing stress at work.
Are there any 禁忌 foods I should avoid while on this treatment?|Are there any contraindicated foods I should avoid while on this treatment?
The 傷口 is healing nicely and you can remove the bandage tomorrow.|The wound is healing nicely and you can remove the bandage tomorrow.
Taking a 深呼吸 can genuinely help calm your nervous system during anxiety.|Taking a deep breath can genuinely help calm your nervous system during anxiety.
The hospital's 救急 department was completely overwhelmed on New Year's Eve.|The hospital's emergency department was completely overwhelmed on New Year's Eve.
We were relieved to hear the 診断 was less serious than we feared.|We were relieved to hear the diagnosis was less serious than we feared.
I've noticed my 食欲 has dropped significantly since the new medication started.|I've noticed my appetite has dropped significantly since the new medication started.
Could the persistent 咳 be a sign of something more serious?|Could the persistent cough be a sign of something more serious?
The nurse checked his 脈拍 and said it was perfectly steady.|The nurse checked his pulse and said it was perfectly steady.
Living a 健康 lifestyle really does make a measurable difference over time.|Living a healthy lifestyle really does make a measurable difference over time.
She went to the pharmacy to refill her 処方箋 after the appointment.|She went to the pharmacy to refill her prescription after the appointment.
He was admitted with severe 炎症 in both of his knee joints.|He was admitted with severe inflammation in both of his knee joints.
I'm nervous about the 胃カメラ procedure scheduled for next Monday.|I'm nervous about the stomach camera procedure scheduled for next Monday.
The physical therapist showed me some 柔軟 exercises to do each morning.|The physical therapist showed me some flexibility exercises to do each morning.
The 入院 period was only five days, which surprised everyone.|The hospitalization period was only five days, which surprised everyone.
She asked her doctor about 予防 options before traveling overseas.|She asked her doctor about prevention options before traveling overseas.
The new 点滴 drip helped rehydrate him much faster than oral fluids alone.|The new IV drip helped rehydrate him much faster than oral fluids alone.
His 視力 has declined noticeably over the past two years.|His eyesight has declined noticeably over the past two years.
I think the 疲労 built up from months of overwork finally caught up with him.|I think the fatigue built up from months of overwork finally caught up with him.
She experiences 不眠 almost every night and it's affecting her concentration.|She experiences insomnia almost every night and it's affecting her concentration.
The 骨折 was minor but still required a cast for six weeks.|The fracture was minor but still required a cast for six weeks.
The 葉っぱ on this oak tree are turning the most incredible shade of gold.|The leaves on this oak tree are turning the most incredible shade of gold.
I've never seen such 鮮やか roses blooming this late in autumn.|I've never seen such vivid roses blooming this late in autumn.
Could you help me move this 大きな stone over to the far corner of the garden?|Could you help me move this large stone over to the far corner of the garden?
The 土 in this raised bed is absolutely perfect for root vegetables.|The soil in this raised bed is absolutely perfect for root vegetables.
We planted a whole row of 苗 along the south-facing fence last weekend.|We planted a whole row of seedlings along the south-facing fence last weekend.
That old 木 in the neighbor's yard casts too much shade on our tomatoes.|That old tree in the neighbor's yard casts too much shade on our tomatoes.
I'm trying to grow a 生け垣 between the driveway and the lawn.|I'm trying to grow a hedge between the driveway and the lawn.
The garden looks so 静か this morning after last night's rain.|The garden looks so quiet this morning after last night's rain.
She spends every 朝 out there before work, deadheading the dahlias.|She spends every morning out there before work, deadheading the dahlias.
Have you ever tried composting with 落ち葉 from your maple trees?|Have you ever tried composting with fallen leaves from your maple trees?
The 池 at the back of the property has been taken over by water lilies.|The pond at the back of the property has been taken over by water lilies.
What a 素晴らしい harvest we got from those heirloom tomatoes this year!|What a wonderful harvest we got from those heirloom tomatoes this year!
I noticed a small 巣 tucked inside the climbing hydrangea this morning.|I noticed a small nest tucked inside the climbing hydrangea this morning.
Please be 丁寧 when you're repotting those fragile orchid roots.|Please be careful and gentle when you're repotting those fragile orchid roots.
The 川 running along the edge of the property keeps the air incredibly cool.|The river running along the edge of the property keeps the air incredibly cool.
I think we need deeper 根 plants if we want to hold that slope in place.|I think we need deeper-rooted plants if we want to hold that slope in place.
The 夕暮れ light made every flower in the border glow like stained glass.|The twilight light made every flower in the border glow like stained glass.
We finally found a 日陰 corner where the ferns are actually thriving.|We finally found a shady corner where the ferns are actually thriving.
That climbing vine has become completely 野生 and refuses to be pruned back.|That climbing vine has become completely wild and refuses to be pruned back.
The 虫 damage on the basil started almost as soon as we transplanted it.|The insect damage on the basil started almost as soon as we transplanted it.
I love walking barefoot across the 芝生 on a warm summer evening.|I love walking barefoot across the lawn on a warm summer evening.
She keeps a 日記 of every plant she adds to the garden, along with the date.|She keeps a diary of every plant she adds to the garden, along with the date.
Those 小石 along the path really do tie the whole layout together.|Those small stones along the path really do tie the whole layout together.
I wish the 空 would stay this clear so we don't need to water tomorrow.|I wish the sky would stay this clear so we don't need to water tomorrow.
This 深い layer of mulch should protect the bulbs through the coldest weeks.|This deep layer of mulch should protect the bulbs through the coldest weeks.
We built a small 棚 in the greenhouse just for starting seeds in winter.|We built a small shelf in the greenhouse just for starting seeds in winter.
The 香り from that rosemary hedge hits you the moment you open the gate.|The fragrance from that rosemary hedge hits you the moment you open the gate.
Has anyone else noticed how 元気 the sunflowers look after that last rain?|Has anyone else noticed how lively and vigorous the sunflowers look after that last rain?
I staked the 枝 that snapped in the wind and it seems to be recovering.|I staked the branch that snapped in the wind and it seems to be recovering.
There's a 美しい patch of wild clover spreading across the lower meadow.|There's a beautiful patch of wild clover spreading across the lower meadow.
The morning 霧 hung over the vegetable beds for most of the early shift.|The morning mist hung over the vegetable beds for most of the early shift.
I really should thin out these 芽 before they start competing for space.|I really should thin out these sprouts before they start competing for space.
The garden gate is 古い but I can't bring myself to replace it yet.|The garden gate is old but I can't bring myself to replace it yet.
We harvested the last of the 秋 squash just before the first hard frost.|We harvested the last of the autumn squash just before the first hard frost.
That 大地 smell after heavy rain is the best part of gardening season.|That rich earth smell after heavy rain is the best part of gardening season.
She arranged a few 石 around the base of the cherry tree as a border.|She arranged a few stones around the base of the cherry tree as a border.
The 風 today is strong enough to knock over the taller sunflower stalks.|The wind today is strong enough to knock over the taller sunflower stalks.
I find 剪定 work in early spring really meditative and grounding.|I find pruning work in early spring really meditative and grounding.
The 草 along the fence line needs to be cut before it sets seed.|The weeds and grass along the fence line need to be cut before they set seed.
Every 季節 brings a completely different mood to this garden, which is why I love it.|Every season brings a completely different mood to this garden, which is why I love it.
I stayed up until midnight finishing that 推理 novel and now I can't sleep.|I stayed up until midnight finishing that mystery novel and now I can't sleep.
The cinematography in that film was so 美しい that I cried twice.|The cinematography in that film was so beautiful that I cried twice.
Have you seen the new 刑事 drama that everyone's been talking about?|Have you seen the new detective drama that everyone's been talking about?
She borrowed three 図書館 books and hasn't returned any of them.|She borrowed three library books and hasn't returned any of them.
That 主人公 was so frustrating — I kept yelling at the screen.|That main character was so frustrating — I kept yelling at the screen.
The ending of that series was completely 最悪 and I want a refund of my time.|The ending of that series was completely terrible and I want a refund of my time.
I think the 脚本 for that movie was the weakest part of the whole production.|I think the screenplay for that movie was the weakest part of the whole production.
He read the entire 上下巻 set on the flight to London.|He read the entire two-volume set on the flight to London.
The 俳優 who played the villain was absolutely magnetic in every scene.|The actor who played the villain was absolutely magnetic in every scene.
Can you recommend something 感動的 to watch this weekend?|Can you recommend something moving and emotional to watch this weekend?
I love how the 語り手 in that novel never quite tells you the whole truth.|I love how the narrator in that novel never quite tells you the whole truth.
The special effects were stunning but the 物語 itself felt hollow.|The special effects were stunning but the story itself felt hollow.
She's been a 大ファン of that author since middle school.|She's been a huge fan of that author since middle school.
That documentary about 職人 craftspeople changed how I think about everyday objects.|That documentary about artisan craftspeople changed how I think about everyday objects.
The 続編 was honestly better than the original, which almost never happens.|The sequel was honestly better than the original, which almost never happens.
I find it 不思議 how a single book can completely shift your worldview.|I find it mysterious and strange how a single book can completely shift your worldview.
They cast a totally 意外 actor as the lead and it actually worked.|They cast a totally unexpected actor as the lead and it actually worked.
The 舞台 was set in feudal Scotland, which was a bold creative choice.|The setting was feudal Scotland, which was a bold creative choice.
I've been watching that 深夜 talk show whenever I can't fall asleep.|I've been watching that late-night talk show whenever I can't fall asleep.
The 伏線 in that thriller were so well-placed that I missed every single one.|The foreshadowing in that thriller was so well-placed that I missed every single one.
Has anyone else noticed how 細かい the background details in that show are?|Has anyone else noticed how meticulous and detailed the background details in that show are?
