cs_level|direction|sentence
2|EN_BASE|The 一番 cocktail here has such a good 後味.
2|EN_BASE|She always orders something 甘め at the bar, which I find surprisingly 好み.
2|EN_BASE|This 地酒 is so smooth that you forget how 強め it actually is.
2|EN_BASE|Can you recommend a 飲み放題 option that isn't too 高め?
2|EN_BASE|The bartender's 手際 was impressive, and the result was honestly 絶品.
2|EN_BASE|He stood at the 端 of the counter and drank in 沈黙.
2|EN_BASE|I love a bar with 落ち着き where the 雰囲気 feels unhurried.
2|EN_BASE|The 泡 on this draft beer is so perfect, almost 芸術的.
2|EN_BASE|After two rounds of 梅酒, everything felt a little 夢心地.
2|EN_BASE|We found a 穴場 bar downtown that was surprisingly 豪華 inside.
2|EN_BASE|Her 本音 finally came out after the third glass of 赤ワイン.
2|EN_BASE|The 水割り here is made with real 名水, apparently.
2|EN_BASE|I need something 軽め because I have a 仕事 early tomorrow.
2|EN_BASE|The 口当たり of this cocktail is soft, with a 爽やか finish.
2|EN_BASE|He nursed his 熱燗 by the window in complete 静寂.
2|EN_BASE|The 居心地 of this place is excellent — very 上品.
2|EN_BASE|Is there anything 無糖 on the menu, or is everything 甘口?
2|EN_BASE|The barkeeper had a real 職人 spirit, approaching every drink with 丁寧 care.
2|EN_BASE|We stayed until 閉店 because the 話 was too good to stop.
2|EN_BASE|She described the gin as 繊細 with a faint 苦味 at the end.
2|EN_BASE|There's something 特別 about drinking 冷酒 on a summer night.
2|EN_BASE|The 常連 at this bar always have such 深い taste in whisky.
2|EN_BASE|I appreciate a place where you can drink at your own 間 and enjoy the 余白.
2|EN_BASE|The 一口 I took was 衝撃的 — I had no idea it would be that complex.
2|EN_BASE|This tiny 角打ち is such a 掘り出し物 find on this street.
2|EN_BASE|He only drinks 辛口 wine, so the 選択肢 here suit him perfectly.
2|EN_BASE|The 薄暗さ of the lighting and the 温もり of the wood made us want to stay forever.
2|EN_BASE|Could I get a 氷 refill? This 焼酎 over ice is exactly what I needed.
2|EN_BASE|That bar had real 個性 — the menu was nothing short of 独創的.
2|EN_BASE|The 二日酔い next morning was brutal, but the 記憶 was worth it.
2|EN_BASE|I asked for something 複雑 and the bartender delivered pure 感動.
2|EN_BASE|The 客層 here is very mixed, which gives the bar a warm 活気.
2|EN_BASE|She sipped her cocktail with great 優雅 and said not a single 言葉.
2|EN_BASE|Even the 器 the drinks came in felt thoughtful and 上質.
2|EN_BASE|The 香り alone when they opened the bottle was 格別.
2|EN_BASE|He prefers standing bars for the 気軽さ and the chance 出会い.
2|EN_BASE|The place had a wonderful 混沌 to it, and somehow that created a real 一体感 among strangers.
2|EN_BASE|Drinking here feels like pure 解放 — nothing but 至福 in a glass.
2|EN_BASE|The bar had such a 落ち着き vibe that even the 常連 forgot to check their phones.
2|EN_BASE|She ordered a whiskey neat with a kind of 余裕 that made the 新入り bartender nervous.
2|EN_BASE|That craft beer has a really 独特 flavor profile, almost like 蜂蜜 in the finish.
2|EN_BASE|Every Friday the 雰囲気 in this rooftop bar turns completely 華やか.
2|EN_BASE|He always orders something 珍しい just to spark a 話題 at the table.
2|EN_BASE|Can you make me something 爽やか, maybe with 柚子 citrus notes?
2|EN_BASE|The 本音 came out after two drinks, which is exactly the 目的 of a good dive bar.
2|EN_BASE|This cocktail lounge is surprisingly 静か for a Saturday, but the 人気 won't last.
